Code,Ca,Ba,Cu,Mn,Zn,Li,B,Mg,Si,Sr,Fe,Region,lengthCm,weightKg,Sex
4,11181.49254,0.98234506,0.23038756,0.703352,7.20462152,0.03198877,7.5111,157.1641791,11.90094661,84.85074627,1.48694007,2,134,6.1,2
6,12454.55224,1.09172478,0.23167888,0.78135389,9.47641502,0.03838652,7.5111,208.4328358,20.51814799,94.92537313,1.07519819,2,134,7.3,1
7,8042.948718,0.64838209,0.16431902,0.41098484,7.0533489139659,0.03297303,7.5111,138.3974359,12.44,64.74358974,0.96153146,2,156,8.7,1
10,9770.923077,0.71971533,0.17587449,0.44502961,6.43618964,0.00659461,2.84615385,174.3846154,11.90094661,68,1.55535135,2,130,6.4,1
12,10308.63636,0.66094971,0.13496182,0.86919333,8.39454945169121,0.05566876,2.53246753,158.7662338,17.39424966,81.55844156,1.42828132,2,154,7.1,1
15,10327.3125,0.83597962,0.10814279,0.65953098,7.20078726,0.06429742,2.6875,163.625,14.30623775,83.3125,1.00644996,2,160,8.8,1
17,9999.548872,0.64878105,0.15582509,0.53579531,7.29145444,0.02578343,3.08270677,180.4511278,13.61595485,78.12030075,1.76984763,2,133,6.8,1
18,12686.26866,1.26882018,0.163207,1.1078377,11.16306915,0.09596629,2.3880597,207.0149254,12.53053762,120.5223881,1.38240343,2,134,7.1,2
19,10193.30645,1.00071382,0.10977594,0.70411223,7.77812471,0.0276548,2.41935484,168.7096774,13.21752636,78.70967742,1.10585863,2,124,5.7,2
20,13264.70588,1.38681982,0.16180309,0.65749928,9.55365612,0.03602096,10.16806723,218.5714286,14.1792541,88.82352941,1.47518251,2,119,5,2
21,12464.4186,0.99756382,0.1356162,0.3577614,8.14464614,0.0465201,9.76744186,226.2790698,11.40100141,101.5503876,1.33182903,2,129,6.3,2
22,14001.68067,1.49962162,0.15819906,0.77691255,12.08147711,0.06483773,11.42857143,219.5798319,12.76708752,120.0840336,2.0109483,2,119,5,2
23,11086.21429,0.66816026,0.12867387,0.73112552,7.53779513,0.07348276,10.5,204.7857143,9.97364655,91,1.50585968,2,140,7.6,2
24,9966.764706,0.9334887,0.11267898,0.47491454,6.06557356,0.01891101,11.39705882,155.0735294,9.02302682,75.66176471,1.07262641,2,136,7,2
25,9404.065041,0.55258338,0.09272715,0.61210984,6.05080873,0,12.68292683,174.2276423,9.73031491,64.87804878,1.12753953,2,123,6.2,2
26,9943.615385,0.80279147,0.10143679,1.05215093,6.31613471,0.02637843,13.23076923,158.0769231,9.12072146,70.53846154,1.18856914,2,130,6.2,2
27,12864.88,0.8926153,0.11943527,1.15318735,9.55145836,0.04115035,13.2,209.36,10.05023447,98.16,1.41378535,2,125,5.9,2
28,11372.61538,1.07107902,0.10482618,0.61562227,10.90074618,0.05935146,13.15384615,191.9230769,9.3034591,89.46153846,1.31797955,2,130,6.2,2
